"","Pop","Latitude","Longitude","Distance","MAT","MSP","CMD","RH","MAT_Distance","MSP_Distance","CMD_Distance","RH_Distance","Fruit_no_damage","Seeds","Flowering_Date","Leaf_Toughness","Water_Content","Growth_Rate","Bolt_Date","SLA","Num_Trichomes","Leaf_Herb_Sept","bug","Hight","S.florida","M.brevivatella","Tissue","Leaf_Totphe","Leaf_pH_10","Flower_Totphe","Flower_pH_10","Fruit_Totphe","Fruit_pH_10","Leaf_Oenothein_B","Leaf_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A"
"18",515,35.96879,-78.961891,896,15.2,536,276,60,7.3,80,155,-9,96.2,13158.6,257.6,119,72.64335509,0.12331830625,140.8,42.260085554,91,1.24,11,141.4,3,0,"Leaf",93.68021814,21.94444211,45.49587074,5.852835594,160.0728339,42.28108397,0.369002695,48.51663423,0.588612341,13.20754698,6.783193722,137.5177217
"19",516,43.649047,-79.5438,42,7.5,368,215,67,-0.4,-88,94,-2,66.3333333333333,14202.6666666667,231,115,76.881996435,0.088913787,135,49.59878506,121,2.7,9.66666666666667,132,11.5,0,"Leaf",95.31324178,21.14302156,58.33262354,11.76373837,134.8320587,35.59892659,1.540692147,64.80776007,4.100387266,24.56564932,5.287499096,93.54702662
"20",518,44.162759,-77.383232,174,7.1,351,217,65,-0.800000000000001,-105,96,-4,120.213333333333,29483.6666666667,204.333333333333,120,72.4258726366667,0.089153064,132,42.7690629566667,75.6666666666667,3.2,18,120,0,0.666666666666667,"Leaf",68.9462101,21.28234449,53.08060511,9.478585349,110.2517776,32.11535323,55.66244658,5.308945967,31.34207145,4.643564977,66.64991528,12.5843042
"21",570,43.962878,-79.522835,7,6.5,381,189,66,-1.4,-75,68,-3,57.635,8917.75,192,105,77.3621417775,0.08793567125,137,53.145737845,70.5,0.7,6.75,81.5,3.25,11.75,"Leaf",72.6789235,20.0071655,45.05163085,10.87675407,80.15838594,16.64813911,49.90310209,5.113676105,24.88124352,3.531713568,41.97337024,3.379536585
"22",571,43.962613,-79.523201,7,6.5,381,189,66,-1.4,-75,68,-3,6.91333333333333,664,207.5,98.3333333333333,78.614268335,0.060205999,134,68.151976655,174.5,1.062962963,3.5,29.5,10,7,"Leaf",68.83985659,17.73718763,45.34401745,9.931334318,72.28291305,11.17382923,49.16465798,4.342774095,26.39944494,3.640329077,20.36478667,1.681070171
"23",572,43.962613,-79.523941,7,6.5,381,189,66,-1.4,-75,68,-3,138.216,25502,194.4,112,78.833964656,0.11295291975,134.25,54.955324575,125.2,2.88,8.2,110.2,0.2,8.8,"Leaf",68.24012286,15.41430218,55.12552747,14.377741,85.19302632,19.6382374,44.33058037,4.172966427,23.91639857,0.116372283,60.60236411,3.639864599
"24",573,43.962762,-79.523209,7,6.5,381,189,66,-1.4,-75,68,-3,170.684,39346.6,200.8,101,76.943091106,0.082486234,133.8,57.897363148,107.4,2.3,8,80,5.5,7.75,"Leaf",62.98071289,16.20739646,42.67049687,11.85010055,96.15974313,29.12380227,46.14154061,3.896865119,24.87454821,3.018262649,56.13873783,6.602943548
"25",574,43.961764,-79.523544,7,6.5,381,189,66,-1.4,-75,68,-3,26.955,7065.25,195.75,91.25,75.122389555,0.0763726776666667,133,55.6782488866667,131.5,1.275,8.33333333333333,86.3333333333333,1,0.25,"Leaf",77.40752713,20.31400812,74.8662666,17.54256589,119.3483964,31.13919548,48.19256225,12.24089205,26.27032433,17.29320614,51.95891636,48.27139814
"26",658,42.004086,-77.126945,299,8,423,251,58,0.0999999999999996,-33,130,-11,33.892,3175.4,208,124,74.184552242,0.08640823525,133.666666666667,48.377557524,95,2.46,5.6,49.2,1.25,0.75,"Leaf",76.33477896,22.85947124,61.29954657,18.08550077,107.5938247,24.94268226,56.94822992,6.263390748,38.2372673,7.904331745,41.68691356,15.71340909
"27",676,41.878114,-87.629799,701,10.1,470,135,69,2.2,14,14,0,129.8,32326,203.6,115,73.980068326,0.10521233,135,50.82824888,127.6,1.78,7,130.25,0,0,"Leaf",111.2278233,23.42040976,60.717765,9.026450475,165.9659315,43.64584233,0.498702543,49.60973839,1.937069561,24.18938659,4.111953217,120.2470773
"28",688,49.157497,-121.951981,3255,10.1,359,164,72,2.2,-97,43,3,55.76,18658,207,148.333333333333,74.07925283,0.108229862,132,55.2889800866667,127.666666666667,3.1,13.3333333333333,93.3333333333333,16,1.33333333333333,"Leaf",90.76876713,24.99980939,56.53627865,13.84770719,135.9451656,40.97465854,79.02671404,9.503198511,40.90908558,6.646498011,102.9541491,23.64041829
"29",689,49.283726,-117.631439,2941,8.2,243,365,66,0.299999999999999,-213,244,-3,24.34,1948.33333333333,190,101.666666666667,74.8824244266667,0.1018872385,133,64.6528261666667,88,1.03333333333333,11.5,72,3.5,5.5,"Leaf",89.80621873,23.87342069,72.33017495,16.78291857,100.6795856,20.52496672,67.27128682,6.129866162,50.94980644,6.362380429,40.80440711,3.552152846
"30",690,50.960833,-119.285599,3052,7.4,225,376,66,-0.5,-231,255,-3,11.5,2166.25,202,108.75,73.5804566366667,0.0987861805,140.333333333333,43.2189518833333,95.3333333333333,3.9,9.5,41.5,6.5,0,"Leaf",93.82022883,26.4656946,54.21122861,10.00952513,143.3894331,38.42421619,79.11261355,4.030055419,36.04176841,2.81000879,110.6316968,16.72494968
"31",691,49.762926,-117.473495,2927,7.9,224,374,66,0,-232,253,-3,20,3214,204,130,75.42759407,NA,NA,64.74840581,80,2.7,NA,NA,0,0,"Leaf",98.80684689,34.04862979,41.42050346,8.064133222,102.8109689,19.83879081,88.06997634,5.314946341,19.27410271,3.958363499,50.32139895,2.945108587
