"","Pop","Leaf_Totphe","Leaf_pH_10","Flower_Totphe","Flower_pH_10","Fruit_Totphe","Fruit_pH_10","Leaf_Oenothein_B","Leaf_Oenothein_A","Leaf_Ox_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Flower_Ox_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A","Fruit_Ox_Oenothein_A","Seeds"
"1",6,78.53313791,21.6046973,NA,NA,NA,NA,49.23032653,4.657332915,1.82750794,NA,NA,NA,NA,NA,NA,0
"2",8,80.58737653,19.06262281,50.31557288,13.18046621,88.11688486,19.14854843,62.52368116,5.280348278,2.6614,31.70271904,4.492868008,0.311586555,40.24907122,4.413968293,2.095473561,2759.8
"3",9,82.8160732,23.56557315,38.65979638,8.063595156,106.5181394,31.69925598,70.12406911,6.526646158,3.630624711,20.27139564,2.803412281,0.813427368,49.01163778,13.16054629,1.593440418,22377
"4",22,92.27737344,21.07984621,62.84858081,11.27111195,138.0367347,37.81244587,12.47718267,23.87700175,9.011039359,5.606325552,12.73064492,2.410150466,5.649726935,84.0540691,14.70998362,42003
"5",23,93.34327626,21.00056537,55.06279826,10.44899919,119.0435707,27.33969424,17.56978005,27.93956423,8.64812796,12.88133936,11.6873631,1.356715353,10.27878462,40.77050528,4.017873303,27122.2
"6",181,74.78646307,16.89065064,NA,NA,NA,NA,2.301454082,22.17842776,3.616285898,NA,NA,NA,NA,NA,NA,0
"7",182,101.8303955,21.20219433,102.8728095,24.74190983,170.9560443,31.65886989,4.109732895,28.67838428,8.988739262,25.72183302,39.50486097,1.517686122,20.72091847,117.1954809,11.53607552,8022
"8",183,83.8781529,25.00896919,44.04424322,10.37335731,111.7682366,33.79756065,62.54475815,7.022122905,4.020003657,27.21929341,6.882211538,0.5667,64.75974234,12.35840122,2.548476,8425
"9",378,111.8448115,32.9010455,52.52740203,13.37818308,NA,NA,92.3631605,8.368505903,8.168702509,27.87264967,5.571797954,0.629396317,NA,NA,NA,6756.6
"10",378,114.3788662,34.33666255,52.52740203,13.37818308,NA,NA,92.3631605,8.368505903,8.168702509,27.87264967,5.571797954,0.629396317,NA,NA,NA,6756.6
"11",379,81.58947518,16.24734817,104.0576639,25.83270224,NA,NA,1.080531191,23.6769649,8.46956263,18.92731097,49.9731216,0.411896194,NA,NA,NA,2010.5
"12",411,80.76700715,25.04256561,54.85472659,14.5577366,115.6448967,28.59581617,63.5911592,5.856356084,3.974003783,37.74356652,10.43067584,0.484017361,85.59367726,17.55634162,1.787328414,8121
"13",442,79.66284412,17.45849254,70.86276101,13.24581789,139.4109454,39.98833298,9.393115758,19.87963795,10.57400481,10.23207175,22.92702532,1.427503797,11.20790853,77.05334932,6.190361837,10120
"14",447,91.38741843,16.9874809,65.44396847,12.68215553,NA,NA,0.566718778,34.86669071,15.42587707,3.192221914,23.34007189,1.281133961,NA,NA,NA,10609.4
"15",465,75.42586785,17.5933072,66.00978812,11.94416235,136.8183863,39.32415327,3.280592627,28.72489631,5.354824373,9.657824448,26.83637089,0.216524399,14.6282808,106.1241964,2.086034196,18203.25
"16",501,84.55247989,17.68120873,65.87778926,9.745997048,166.8401926,43.5471638,1.164774463,20.36230591,13.5310123,1.971981444,20.5872547,2.525264057,5.019257383,118.7129659,8.868495316,17244.1666666667
"17",514,69.69423969,13.11732836,67.22273596,11.98057899,114.6918975,27.17389081,0.7161389,20.75444627,8.896684965,18.19921162,20.62818538,0.761794311,52.0876065,21.06299878,3.979881663,1117.33333333333
"18",515,93.68021814,21.94444211,45.49587074,5.852835594,160.0728339,42.28108397,0.369002695,48.51663423,7.205875449,0.588612341,13.20754698,0.558400914,6.783193722,137.5177217,3.097466168,13158.6
"19",516,95.31324178,21.14302156,58.33262354,11.76373837,134.8320587,35.59892659,1.540692147,64.80776007,6.387548904,4.100387266,24.56564932,0.210991814,5.287499096,93.54702662,0.991303365,14202.6666666667
"20",518,68.9462101,21.28234449,53.08060511,9.478585349,110.2517776,32.11535323,55.66244658,5.308945967,2.437003653,31.34207145,4.643564977,0.379671149,66.64991528,12.5843042,4.116395801,29483.6666666667
"21",570,72.6789235,20.0071655,45.05163085,10.87675407,80.15838594,16.64813911,49.90310209,5.113676105,1.969543368,24.88124352,3.531713568,0.471148543,41.97337024,3.379536585,3.260914146,8917.75
"22",571,68.83985659,17.73718763,45.34401745,9.931334318,72.28291305,11.17382923,49.16465798,4.342774095,2.218296073,26.39944494,3.640329077,0.159683202,20.36478667,1.681070171,0.673440141,664
"23",572,68.24012286,15.41430218,55.12552747,14.377741,85.19302632,19.6382374,44.33058037,4.172966427,1.631084675,23.91639857,0.116372283,0.646416107,60.60236411,3.639864599,5.229985721,25502
"24",573,62.98071289,16.20739646,42.67049687,11.85010055,96.15974313,29.12380227,46.14154061,3.896865119,1.695528656,24.87454821,3.018262649,0.259081944,56.13873783,6.602943548,4.03799824,39346.6
"25",574,77.40752713,20.31400812,74.8662666,17.54256589,119.3483964,31.13919548,48.19256225,12.24089205,3.207180876,26.27032433,17.29320614,0.308564718,51.95891636,48.27139814,2.708592752,7065.25
"26",658,76.33477896,22.85947124,61.29954657,18.08550077,107.5938247,24.94268226,56.94822992,6.263390748,3.177648622,38.2372673,7.904331745,0.214491374,41.68691356,15.71340909,1.837937109,3175.4
"27",676,111.2278233,23.42040976,60.717765,9.026450475,165.9659315,43.64584233,0.498702543,49.60973839,16.26714699,1.937069561,24.18938659,2.534252,4.111953217,120.2470773,11.58102484,32326
"28",688,93.22712434,27.6632892,56.53627865,13.84770719,135.9451656,40.97465854,79.02671404,9.503198511,1.34571335,40.90908558,6.646498011,0.028246445,102.9541491,23.64041829,0.371712293,18658
