Latitude,Long,Elevation,Period,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD<0 ,DD>5 ,DD<18 ,DD>18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,Tmax_wt ,Tmax_sp ,Tmax_sm ,Tmax_at ,Tmin_wt ,Tmin_sp ,Tmin_sm ,Tmin_at ,Tave_wt ,Tave_sp ,Tave_sm ,Tave_at ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,Rad_wt ,Rad_sp ,Rad_sm ,Rad_at ,DD<0_wt ,DD<0_sp ,DD<0_sm ,DD<0_at ,DD>5_wt ,DD>5_sp ,DD>5_sm ,DD>5_at ,DD<18_wt ,DD<18_sp ,DD<18_sm ,DD<18_at ,DD>18_wt ,DD>18_sp ,DD>18_sm ,DD>18_at ,NFFD_wt ,NFFD_sp ,NFFD_sm ,NFFD_at ,PAS_wt ,PAS_sp ,PAS_sm ,PAS_at ,Eref_wt ,Eref_sp ,Eref_sm ,Eref_at ,CMD_wt ,CMD_sp ,CMD_sm ,CMD_at ,RH_wt ,RH_sp ,RH_sm ,RH_at ,Tmax(01) ,Tmax(02) ,Tmax(03) ,Tmax(04) ,Tmax(05) ,Tmax(06) ,Tmax(07) ,Tmax(08) ,Tmax(09) ,Tmax(10) ,Tmax(11) ,Tmax(12) ,Tmin(01) ,Tmin(02) ,Tmin(03) ,Tmin(04) ,Tmin(05) ,Tmin(06) ,Tmin(07) ,Tmin(08) ,Tmin(09) ,Tmin(10) ,Tmin(11) ,Tmin(12) ,Tave(01) ,Tave(02) ,Tave(03) ,Tave(04) ,Tave(05) ,Tave(06) ,Tave(07) ,Tave(08) ,Tave(09) ,Tave(10) ,Tave(11) ,Tave(12) ,Prec(01) ,Prec(02) ,Prec(03) ,Prec(04) ,Prec(05) ,Prec(06) ,Prec(07) ,Prec(08) ,Prec(09) ,Prec(10) ,Prec(11) ,Prec(12) ,Rad(01) ,Rad(02) ,Rad(03) ,Rad(04) ,Rad(05) ,Rad(06) ,Rad(07) ,Rad(08) ,Rad(09) ,Rad(10) ,Rad(11) ,Rad(12) ,DD<0(01) ,DD<0(02) ,DD<0(03) ,DD<0(04) ,DD<0(05) ,DD<0(06) ,DD<0(07) ,DD<0(08) ,DD<0(09) ,DD<0(10) ,DD<0(11) ,DD<0(12) ,DD>5(01) ,DD>5(02) ,DD>5(03) ,DD>5(04) ,DD>5(05) ,DD>5(06) ,DD>5(07) ,DD>5(08) ,DD>5(09) ,DD>5(10) ,DD>5(11) ,DD>5(12) ,DD<18(01) ,DD<18(02) ,DD<18(03) ,DD<18(04) ,DD<18(05) ,DD<18(06) ,DD<18(07) ,DD<18(08) ,DD<18(09) ,DD<18(10) ,DD<18(11) ,DD<18(12) ,DD>18(01) ,DD>18(02) ,DD>18(03) ,DD>18(04) ,DD>18(05) ,DD>18(06) ,DD>18(07) ,DD>18(08) ,DD>18(09) ,DD>18(10) ,DD>18(11) ,DD>18(12) ,NFFD(01) ,NFFD(02) ,NFFD(03) ,NFFD(04) ,NFFD(05) ,NFFD(06) ,NFFD(07) ,NFFD(08) ,NFFD(09) ,NFFD(10) ,NFFD(11) ,NFFD(12) ,PAS(01) ,PAS(02) ,PAS(03) ,PAS(04) ,PAS(05) ,PAS(06) ,PAS(07) ,PAS(08) ,PAS(09) ,PAS(10) ,PAS(11) ,PAS(12) ,Eref(01) ,Eref(02) ,Eref(03) ,Eref(04) ,Eref(05) ,Eref(06) ,Eref(07) ,Eref(08) ,Eref(09) ,Eref(10) ,Eref(11) ,Eref(12) ,CMD(01) ,CMD(02) ,CMD(03) ,CMD(04) ,CMD(05) ,CMD(06) ,CMD(07) ,CMD(08) ,CMD(09) ,CMD(10) ,CMD(11) ,CMD(12) ,RH(01) ,RH(02) ,RH(03) ,RH(04) ,RH(05) ,RH(06) ,RH(07) ,RH(08) ,RH(09) ,RH(10) ,RH(11) ,RH(12)
44.026361,-79.545064,290,year_2012,9.2,22.3,-3.4,25.7,781,422,24.5,53,352,2421,3524,333,188,126,282,156,53,-31.5,44.9,-9999,779,269,68,1.7,14.7,26.4,13.5,-5.6,3,14.7,4.7,-1.9,8.9,20.5,9.1,157,110,263,253,-9999,-9999,-9999,-9999,300,22,0,30,34,466,1430,490,1783,860,50,831,0,24,286,22,3,33,92,60,50,2,0,2,0,240,401,137,0,130,139,0,71,62,65,71,0.5,1.7,11.3,11.4,21.4,24.8,28.6,25.8,20.7,13.3,6.3,2.9,-7.3,-5.7,-0.2,0.5,8.7,13.5,16.1,14.5,9.7,5.5,-1.1,-3.4,-3.4,-2,5.5,6,15.1,19.2,22.3,20.1,15.2,9.4,2.6,-0.2,57,42,28,39,43,86,99,77,116,112,26,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,137,95,14,8,0,0,0,0,0,2,28,69,7,10,78,73,315,425,537,469,307,150,33,17,664,557,389,362,110,29,5,16,103,267,461,562,0,0,1,1,22,67,136,83,20,3,0,0,3,0,0,1,31,30,31,31,30,30,0,0,24,17,0,2,0,0,0,0,0,1,1,8,0,0,53,67,121,132,151,119,78,40,19,0,0,0,25,28,77,45,51,42,0,0,0,0,68,71,62,64,61,66,64,66,66,74,74,74
44.026361,-79.545064,290,year_2013,7.2,21.1,-5.7,26.8,964,456,17.9,46.3,667,2174,4138,247,186,129,281,153,139,-31.5,44.9,-9999,681,101,68,0.3,11,24.5,13.2,-7,1.3,14.1,4,-3.4,6.1,19.3,8.6,216,208,296,231,-9999,-9999,-9999,-9999,531,91,0,46,13,360,1319,481,2079,1108,83,868,0,17,209,20,3,32,92,59,122,15,0,7,0,177,366,138,0,28,70,4,70,67,69,69,0,-2.2,2.7,10.1,20.3,22.4,26.4,24.9,20.1,14.5,5.1,-2.3,-8,-9.8,-4.5,0.4,7.9,12.8,15.9,13.7,9.4,5.4,-2.7,-9,-4,-6,-0.9,5.2,14.1,17.6,21.1,19.3,14.8,9.9,1.2,-5.7,66,94,20,100,87,96,123,77,72,111,48,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,152,185,81,10,0,0,0,0,0,1,44,194,6,3,15,61,285,378,499,443,295,164,22,4,683,667,587,384,136,50,9,24,113,250,504,730,0,0,0,1,16,40,105,64,17,3,0,0,3,0,0,1,31,30,31,31,30,29,0,0,32,82,7,8,0,0,0,0,0,1,6,59,0,0,0,61,116,116,134,116,76,44,18,0,0,0,0,0,28,20,11,38,4,0,0,0,67,68,72,67,62,71,69,67,67,70,71,74
