Pop,Distance,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
512,899,35.94715,-78.90313,110,15.1,25.4,3.8,21.6,1164,534,21.6,47.6,66,3947,1914,889,251,103,300,197,5,-22.8,39.8,1223,271,15.1,60
514,926,35.71578,-78.656181,101,15.4,25.4,4.2,21.3,1176,548,21.6,46.5,60,4014,1844,910,264,99,303,204,4,-22,39.6,1210,243,15.1,61
515,896,35.96879,-78.961891,92,15.2,25.5,3.9,21.6,1174,536,21.5,47.6,65,3970,1900,903,251,103,300,197,5,-22.7,40,1233,276,15.1,60
516,42,43.649047,-79.5438,140,7.5,20.7,-6.4,27.1,803,368,21.8,56.3,643,2210,4050,255,186,131,281,150,151,-31.4,36.6,711,215,13.1,67
518,174,44.162759,-77.383232,82,7.1,21.1,-7.4,28.5,863,351,19.9,60,722,2182,4187,261,181,132,279,147,200,-33.4,36.9,696,217,12.5,65
570,7,43.962878,-79.522835,298,6.5,19.8,-7.4,27.2,813,381,20.3,51.9,751,2008,4331,186,178,135,276,142,184,-32.8,35.7,693,189,13.5,66
571,7,43.962613,-79.523201,298,6.5,19.8,-7.4,27.1,813,381,20.3,51.9,751,2008,4331,186,178,135,276,142,184,-32.8,35.7,693,189,13.5,66
572,7,43.962613,-79.523941,298,6.5,19.8,-7.4,27.1,813,381,20.3,51.9,751,2008,4331,186,178,135,276,142,184,-32.8,35.7,693,189,13.5,66
573,7,43.962762,-79.523209,298,6.5,19.8,-7.4,27.2,813,381,20.3,51.9,751,2008,4331,186,178,135,276,142,184,-32.8,35.7,693,189,13.5,66
574,7,43.961764,-79.523544,298,6.5,19.8,-7.4,27.1,813,381,20.3,51.9,751,2008,4331,186,178,135,276,142,184,-32.8,35.7,693,189,13.5,66
658,299,42.004086,-77.126945,373,8,20.5,-5.3,25.8,841,423,21.4,48.5,534,2255,3855,251,170,136,273,137,100,-31.9,37.4,871,251,12.4,58
676,701,41.878114,-87.629799,179,10.1,23.3,-4.7,28,930,470,21.6,49.5,431,2818,3374,501,212,118,292,174,71,-29.6,38.7,799,135,13.3,69
688,3255,49.157497,-121.951981,10,10.1,17.9,2.2,15.7,1547,359,13,50,117,2187,2990,134,296,91,310,218,65,-18.5,36,701,164,12.1,72
689,2941,49.283726,-117.631439,485,8.2,19.6,-3.1,22.8,724,243,25.2,80.8,366,2102,3739,187,232,121,283,162,133,-27.4,38.2,744,365,10.8,66
690,3052,50.960833,-119.285599,379,7.4,19.1,-4.7,23.8,578,225,30.1,84.5,478,1913,4001,156,217,126,277,151,139,-30.1,37.2,709,376,11,66
691,2927,49.762926,-117.473495,548,7.9,19.2,-3.3,22.6,729,224,24.5,86,384,2028,3832,168,226,125,282,157,154,-27.8,38.1,726,374,11.2,66
692,2934,49.610409,-117.563469,538,7.8,19.1,-3.2,22.3,738,239,24.2,80,383,2007,3844,159,224,126,281,155,150,-27.7,38.1,733,361,10.8,66
693,3213,49.561061,-121.429169,302,8.4,18,-1.1,19.1,1541,263,12,68.3,254,1903,3593,114,255,114,295,181,228,-24.2,36.2,666,246,12.3,71
694,1464,50.018423,-96.774117,238,2,19.2,-18.7,37.8,519,341,23.1,56.1,1901,1679,5923,131,153,141,262,121,120,-43.9,38.2,614,208,12.9,59
695,1184,46.087816,-64.778229,28,5.6,19.1,-8,27,1147,429,13.6,44.4,818,1773,4618,130,158,143,270,127,366,-34.8,35.4,661,123,12.4,62
696,1139,47.001544,-65.566162,7,4.8,19.2,-10.2,29.5,1072,436,13.8,44.1,1022,1724,4931,135,150,145,267,122,368,-37.2,36.1,650,119,12.1,61
