Control sample ID#,Pop,Tissue,totphe,pH_10
109,772,Leaf,88.95260469,27.07821085
110,773,Leaf,84.22133221,29.74501581
111,774,Leaf,68.93634442,14.46999649
112,775,Leaf,75.28482557,19.69428431
113,776,Leaf,102.5936439,21.09443161
114,777,Leaf,79.29956381,22.28684299
115,778,Leaf,82.48999383,21.44664447
116,779,Leaf,70.11213714,18.45459135
117,780,Leaf,81.50581051,19.60924143
118,781,Leaf,93.67768933,19.70231758
119,782,Leaf,84.27069891,22.03373593
120,783,Leaf,73.73090914,19.44523346
121,784,Leaf,82.07161713,25.02572397
122,785,Leaf,83.92248318,20.23755389
123,786,Leaf,81.87196911,17.56754498
124,787,Leaf,81.33692144,16.02676439
125,788,Leaf,90.90431835,24.1767329
126,789,Leaf,79.60454336,20.5919813
127,790,Leaf,96.58128519,26.41164344
128,791,Leaf,82.19172681,23.85651932
129,792,Leaf,80.38541738,18.49170509
130,803,Leaf,80.36092591,17.59228465
133,831,Leaf,120.0118323,26.00026214
134,837,Leaf,79.7116337,18.29349832
135,851,Leaf,86.57611859,27.74570178
136,864,Leaf,74.61604136,23.0141868
137,877,Leaf,95.81707175,32.0986233
138,880,Leaf,83.19999856,20.82272117
139,888,Leaf,94.5931568,31.18775231
140,890,Leaf,69.91174383,19.00391533
141,891,Leaf,94.92543509,23.80288916
142,892,Leaf,119.4770449,32.56503335
143,893,Leaf,102.20799,25.72052145
144,908,Leaf,81.69998241,17.49192913
145,914,Leaf,101.5408188,29.42407323
146,915,Leaf,81.2370573,20.19210876
181,705,Flower,43.10631422,12.1537423
182,705,Fruit,117.1006389,35.44420676
183,23,Flower,55.06279826,10.44899919
184,23,Fruit,119.0435707,27.33969424
185,778,Flower,49.54648124,10.47409801
186,778,Fruit,110.7918635,28.7136645
187,762,Flower,48.47547614,10.99599189
188,762,Fruit,178.4223756,57.64578288
189,712,Flower,42.00010402,9.5883756
190,712,Fruit,109.7777769,31.04288028
191,737,Flower,25.64809229,2.94639961
192,737,Fruit,102.5968325,25.73488159
193,730,Flower,60.69817042,9.93540207
194,730,Fruit,61.8882285,10.77818777
195,713,Flower,94.82826575,22.61897161
196,713,Fruit,151.3957482,39.44647728
308,8,Flower,50.31557288,13.18046621
309,9,Flower,38.65979638,8.063595156
310,22,Flower,62.84858081,11.27111195
311,182,Flower,102.8728095,24.74190983
312,183,Flower,44.04424322,10.37335731
313,378,Flower,52.52740203,13.37818308
314,379,Flower,104.0576639,25.83270224
315,411,Flower,54.85472659,14.5577366
316,442,Flower,70.86276101,13.24581789
317,447,Flower,65.44396847,12.68215553
318,465,Flower,66.00978812,11.94416235
319,501,Flower,65.87778926,9.745997048
320,514,Flower,67.22273596,11.98057899
321,515,Flower,45.49587074,5.852835594
322,516,Flower,58.33262354,11.76373837
323,518,Flower,53.08060511,9.478585349
324,570,Flower,45.05163085,10.87675407
325,571,Flower,45.34401745,9.931334318
326,572,Flower,55.12552747,14.377741
327,573,Flower,42.67049687,11.85010055
328,574,Flower,74.8662666,17.54256589
329,658,Flower,61.29954657,18.08550077
330,659,Flower,52.8038181,10.08680569
331,676,Flower,60.717765,9.026450475
332,688,Flower,56.53627865,13.84770719
333,689,Flower,72.33017495,16.78291857
334,690,Flower,54.21122861,10.00952513
335,691,Flower,41.42050346,8.064133222
336,692,Flower,69.21420551,17.61925936
337,693,Flower,36.21684661,7.113818402
338,694,Flower,72.09962285,16.1584266
339,695,Flower,47.50163211,14.5334071
340,696,Flower,54.76486478,13.76762539
341,697,Flower,47.56268763,12.75767177
342,698,Flower,69.41319423,24.81794968
343,699,Flower,71.29077214,18.53619149
344,700,Flower,42.93995862,9.546902883
345,701,Flower,39.40033772,9.417670697
346,702,Flower,49.81423261,11.94499796
347,703,Flower,83.48271104,23.77240517
348,704,Flower,56.48778556,14.11241956
349,706,Flower,46.43832425,11.75844411
350,707,Flower,56.63748733,14.67151537
351,708,Flower,38.68998326,9.211269362
352,710,Flower,60.27143163,17.1372534
353,714,Flower,51.04879337,12.69979643
354,715,Flower,53.94877327,12.05605158
355,718,Flower,38.25601057,8.727618316
356,719,Flower,52.41624796,12.76924245
357,720,Flower,49.71566849,10.89659431
358,723,Flower,48.39069657,8.57135573
359,724,Flower,101.2323717,20.82990818
360,725,Flower,66.30130118,10.59933948
361,726,Flower,54.47261073,9.716120411
362,727,Flower,59.77667037,12.00280344
363,728,Flower,62.90809983,14.03968387
364,729,Flower,61.11828987,14.98927933
366,732,Flower,41.71004977,7.792313142
367,733,Flower,40.46388889,6.345670109
368,734,Flower,54.71491437,14.35630682
369,735,Flower,65.0904808,16.18765754
370,738,Flower,57.77893144,10.13775235
371,739,Flower,70.77038944,16.66717552
372,740,Flower,67.82611837,14.70806634
373,741,Flower,47.98755135,11.84199162
