Pop,Turku_ID,Tissue,Oenothein_B ,Oenothein_A
763,141205 Daniel Ob Leaf 101,Leaf,59.37216768,2.589733566
765,141205 Daniel Ob Leaf 102,Leaf,6.199880533,49.03834144
766,141205 Daniel Ob Leaf 103,Leaf,1.963419383,52.92944812
767,141205 Daniel Ob Leaf 104,Leaf,0.761492108,32.88348523
768,141205 Daniel Ob Leaf 105,Leaf,7.276510998,38.24637856
769,141205 Daniel Ob Leaf 106,Leaf,0.354336693,35.28063478
770,141205 Daniel Ob Leaf 107,Leaf,49.59932156,7.065008612
771,141205 Daniel Ob Leaf 108,Leaf,3.166891886,29.46929133
772,141205 Daniel Ob Leaf 109,Leaf,77.04452344,7.83962334
773,141205 Daniel Ob Leaf 110,Leaf,64.77118064,7.791644254
774,141205 Daniel Ob Leaf 111,Leaf,0.461303343,12.81977964
775,141205 Daniel Ob Leaf 112,Leaf,36.58963969,7.277467139
776,141205 Daniel Ob Leaf 113,Leaf,1.035448006,52.061903
777,141205 Daniel Ob Leaf 114,Leaf,59.80192065,6.78055625
778,141205 Daniel Ob Leaf 115,Leaf,60.67095074,4.95533276
779,141205 Daniel Ob Leaf 116,Leaf,48.75710758,4.431198327
780,141205 Daniel Ob Leaf 117,Leaf,0.70201648,13.37173194
781,141205 Daniel Ob Leaf 118,Leaf,0.447747297,34.92014765
782,141205 Daniel Ob Leaf 119,Leaf,58.81135805,5.319474937
783,141205 Daniel Ob Leaf 120,Leaf,11.7452437,11.12701555
784,141205 Daniel Ob Leaf 121,Leaf,58.63549361,5.589197
785,141205 Daniel Ob Leaf 122,Leaf,5.149538157,28.00224712
786,141205 Daniel Ob Leaf 123,Leaf,0.915958006,22.37270267
787,141205 Daniel Ob Leaf 124,Leaf,0.765401907,22.29344957
788,141205 Daniel Ob Leaf 125,Leaf,66.7613997,7.761549118
789,141205 Daniel Ob Leaf 126,Leaf,53.79233769,6.047992087
790,141205 Daniel Ob Leaf 127,Leaf,75.54199965,5.869382872
791,141205 Daniel Ob Leaf 128,Leaf,52.91708276,7.641621689
792,141205 Daniel Ob Leaf 129,Leaf,3.872944135,46.08403715
803,141205 Daniel Ob Leaf 130,Leaf,8.207413102,32.41971009
806,141205 Daniel Ob Leaf 131,Leaf,3.404798995,25.59845178
825,141205 Daniel Ob Leaf 132,Leaf,0.397753139,27.38749617
831,141205 Daniel Ob Leaf 133,Leaf,9.651101477,57.97110167
837,141205 Daniel Ob Leaf 134,Leaf,0.508775088,10.8144072
851,141205 Daniel Ob Leaf 135,Leaf,57.19694075,5.810802005
864,141205 Daniel Ob Leaf 136,Leaf,45.0323934,5.519786168
877,141205 Daniel Ob Leaf 137,Leaf,85.00348078,8.114968215
880,141205 Daniel Ob Leaf 138,Leaf,63.62978508,7.033792006
