Plant ID,Pop,Block,X,Flowering_Date,Flower_Number ,Leaf_Toughness,Water_Content,Growth_Rate,Bolt_Date,SLA,Above_mass,Below_mass,Num_Trichomes,Leaf_Herb_Sept,bug,Hight,Leaf_herb_July,S.florida,M.brevivatella ,Fruit,l1,l2,l3,l4,l5,d1,d2,d3,d4,d5
21,379,2,,253,0,150,82.14408825,0.084509804,,73.95462924,,,104,5.6,5,116,0.333333333,,,NA,,,,,,,,,,
22,379,3,,,0,175,70,,,59.27533302,0.2,0.1,174,1,0,0,0.9,,,NA,,,,,,,,,,
23,379,4,,257,0,150,74.30952381,0.113465478,131,47.71556273,90.2,9.8,22,2.6,7,165,0.2,0,0,30,24.51,23.89,25.71,24.68,24.9,3.56,3.72,3.8,4.2,3.64
24,379,5,,246,0,165,70.54565702,0.119909027,131,46.88944254,49.1,7.3,235,2.4,18,145,0,0,0,10,24.5,25,22.1,20.2,21,3.1,3.2,3,3.2,2.5
25,411,4,,210,76,130,73.68938401,0.074036269,141,51.77311552,34.3,4.3,60,0.4,10,107,0.1,26,2,61,29.74,28.43,27.33,30.81,26.97,4.84,5.11,5.07,5.35,4.86
26,442,1,,,0,95,80,,,64.27153539,2.4,0.5,160,1.25,3,0,0.8,,,0,,,,,,,,,,
27,442,2,,201,112,135,72.52085264,0.1,135,37.56088773,65.4,,71,3.1,1,145,0.5,0,1,220,12.05,22.11,28.64,28.4,38.65,2.53,4.2,3.54,5.1,5.72
28,442,3,,226,15,100,80.90865152,0.090308999,134,57.66506333,10.1,0.3,117,12.3,3,79,0.7,0,0,26,31.65,31.49,28.07,30.93,25.91,5.42,5.14,5.75,5.26,5.09
29,442,4,,216,26,140,74.95652174,0.069897,,,22.2,1.6,200,0.8,9,116,0.1,,,NA,,,,,,,,,,
30,442,5,,,0,115,60.71428571,,,49.02610253,0.4,0.1,123,6.5,0,0,1.8,,,0,,,,,,,,,,
31,447,1,,,0,100,81.13492303,0.106026945,131,68.35493146,160.7,,53,1.2,9,176,0.2,0,0,125,35.71,34.04,27.82,21.49,14.48,4.25,3.99,3.77,2.49,2.09
32,447,2,,283,0,145,76.23465211,0.12187889,131,54.73157927,67.8,,122,1.1,13,150,0.4,0,0,71,123.87,27.69,17.73,21.48,22.52,4.92,4.67,2.69,3.63,3.27
33,447,3,,257,0,100,74.68152866,0.111111111,130,70.43929709,18,1.7,142,44.5,16,108,0.4,,,0,,,,,,,,,,
34,447,4,,274,0,95,72.01505303,0.053766923,144,,90,8,212,5.4,2,144,0.1,0,0,29,26,35.5,16.5,16.5,23.5,3.5,4.5,2,1.5,3
35,447,5,,257,0,120,72.2800664,0.130676807,131,53.24733305,179.5,16.9,165,1.3,11,188,1.5,0,0,105,39.25,24.03,19.62,30.14,30.36,5.24,3.92,3.05,4.02,4.69
36,465,1,,253,0,85,82.11036992,0.077815125,140,92.18288292,121.1,13.8,158,2.8,2,131,0.3,0,0,179,32,34.2,32.2,36.2,33.2,4.2,4.1,4.3,4.2,4.4
37,465,2,,255,0,115,78.28178694,0.106026945,161,80.22453141,21.6,2.5,96,0,1,114,0.4,0,0,39,33.69,36.35,17.83,32.05,20.42,5.16,4.51,2.67,5.02,2.68
38,465,4,2A,279,0,100,72.58320127,0.030103,135,60.50833301,83.6,6.7,66,1.5,3,111,0,,,NA,,,,,,,,,,
39,465,4,2B,251,0,75,97.78835591,,,91.6450598,9,0.9,103,0.3,0,93,0.8,0,0,NA,33.8,31.4,35.2,33.1,32,5,4.2,4.4,4.5,4
40,465,3,,256,0,100,72.56637168,0.100343332,160,65.01640418,13.2,1.5,29,0.3,0,95,1,0,0,23,33.51,25.82,26,29.91,23.84,4.82,4.11,4.24,4.4,3.08
41,465,5,A,,,,,,,,,,,,0,,0.6,,,NA,,,,,,,,,,
42,465,5,,256,0,110,74.44529457,0.092941893,136,74.37482599,66.7,9.1,134,1.4,3,137,0.6,0,0,94,30.2,29.8,30.5,30,30.8,4.9,4.2,4.8,5,4.8
43,501,1,,,0,195,75.62582345,,,43.99989706,,,38,9.8,0,0,0.8,,,0,,,,,,,,,,
44,501,2,,244,0,150,78.28624079,,,56.30094355,,,200,0,,,0.4,,,NA,,,,,,,,,,
45,501,3,,251,0,145,63.22067594,0.054406804,135,41.75428828,3.9,0.4,110,1.1,0,82,0,0,0,13,27.13,27.02,28.38,24.96,25.07,3.98,3.89,3.83,3.08,3.25
