"","Leaf_Oenothein_B","Leaf_Oenothein_A","Flower_Oenothein_B","Flower_Oenothein_A","Fruit_Oenothein_B","Fruit_Oenothein_A"
"Leaf_Oenothein_B",1,-0.761092720050846,0.667869494916599,-0.637340178367743,0.713154246270998,-0.811342640768932
"Leaf_Oenothein_A",-0.761092720050846,1,-0.636065136933479,0.598207149591318,-0.605591447835408,0.766332732290991
"Flower_Oenothein_B",0.667869494916599,-0.636065136933479,1,-0.387988329393229,0.677415480687883,-0.682138790032963
"Flower_Oenothein_A",-0.637340178367743,0.598207149591318,-0.387988329393229,1,-0.51337611981509,0.740475149014825
"Fruit_Oenothein_B",0.713154246270998,-0.605591447835408,0.677415480687883,-0.51337611981509,1,-0.626958038662074
"Fruit_Oenothein_A",-0.811342640768932,0.766332732290991,-0.682138790032963,0.740475149014825,-0.626958038662074,1
